Time (s),Channel 1 (V),Channel 2 (V),Id
1.77109375,-0.457730336,-0.001009947,-1.00995E-06
1.77171875,-0.456061968,-0.00067381,-6.7381E-07
1.77234375,-0.455394621,-0.00067381,-6.7381E-07
1.77296875,-0.453726253,-0.00067381,-6.7381E-07
1.77359375,-0.452725233,-0.001009947,-1.00995E-06
1.77421875,-0.451390538,-0.001009947,-1.00995E-06
1.77484375,-0.450055844,-0.001009947,-1.00995E-06
1.77546875,-0.449054823,-0.001009947,-1.00995E-06
1.77609375,-0.447720129,-0.001009947,-1.00995E-06
1.77671875,-0.446385435,-0.001009947,-1.00995E-06
1.77734375,-0.44505074,-0.001009947,-1.00995E-06
1.77796875,-0.443716046,-0.001009947,-1.00995E-06
1.77859375,-0.442381352,-0.001009947,-1.00995E-06
1.77921875,-0.441380331,-0.001009947,-1.00995E-06
1.77984375,-0.440045637,-0.001009947,-1.00995E-06
1.78046875,-0.438710943,-0.001009947,-1.00995E-06
1.78109375,-0.437709922,-0.001009947,-1.00995E-06
1.78171875,-0.436041554,-0.001009947,-1.00995E-06
1.78234375,-0.435040533,-0.001009947,-1.00995E-06
1.78296875,-0.433705839,-0.001009947,-1.00995E-06
1.78359375,-0.432371145,-0.001009947,-1.00995E-06
1.78421875,-0.431370124,-0.001009947,-1.00995E-06
1.78484375,-0.43003543,-0.001009947,-1.00995E-06
1.78546875,-0.428700735,-0.001009947,-1.00995E-06
1.78609375,-0.427699715,-0.001009947,-1.00995E-06
1.78671875,-0.426698694,-0.001009947,-1.00995E-06
1.78734375,-0.425697673,-0.001009947,-1.00995E-06
1.78796875,-0.424362979,-0.001009947,-1.00995E-06
1.78859375,-0.423028285,-0.001009947,-1.00995E-06
1.78921875,-0.42169359,-0.001009947,-1.00995E-06
1.78984375,-0.420358896,-0.001009947,-1.00995E-06
1.79046875,-0.419357875,-0.001009947,-1.00995E-06
1.79109375,-0.418023181,-0.001009947,-1.00995E-06
1.79171875,-0.416688487,-0.001009947,-1.00995E-06
1.79234375,-0.415353793,-0.00067381,-6.7381E-07
1.79296875,-0.414019098,-0.001009947,-1.00995E-06
1.79359375,-0.413018078,-0.001009947,-1.00995E-06
1.79421875,-0.411683383,-0.001009947,-1.00995E-06
1.79484375,-0.410348689,-0.001009947,-1.00995E-06
1.79546875,-0.409347668,-0.001009947,-1.00995E-06
1.79609375,-0.408012974,-0.001009947,-1.00995E-06
1.79671875,-0.40667828,-0.001009947,-1.00995E-06
1.79734375,-0.405343585,-0.001009947,-1.00995E-06
1.79796875,-0.404008891,-0.001009947,-1.00995E-06
1.79859375,-0.40300787,-0.001009947,-1.00995E-06
1.79921875,-0.401673176,-0.001009947,-1.00995E-06
1.79984375,-0.400338482,-0.001009947,-1.00995E-06
1.80046875,-0.399003788,-0.001009947,-1.00995E-06
1.80109375,-0.397669093,-0.001009947,-1.00995E-06
1.80171875,-0.396668073,-0.001009947,-1.00995E-06
1.80234375,-0.395333378,-0.001009947,-1.00995E-06
1.80296875,-0.393998684,-0.001009947,-1.00995E-06
1.80359375,-0.392997663,-0.001009947,-1.00995E-06
1.80421875,-0.391662969,-0.001009947,-1.00995E-06
1.80484375,-0.390328275,-0.001009947,-1.00995E-06
1.80546875,-0.389327254,-0.001009947,-1.00995E-06
1.80609375,-0.38799256,-0.001009947,-1.00995E-06
1.80671875,-0.386657865,-0.001009947,-1.00995E-06
1.80734375,-0.385656845,-0.001009947,-1.00995E-06
1.80796875,-0.38432215,-0.001009947,-1.00995E-06
1.80859375,-0.382987456,-0.001009947,-1.00995E-06
1.80921875,-0.381652762,-0.001009947,-1.00995E-06
1.80984375,-0.380318067,-0.001009947,-1.00995E-06
